customer_id,Total_Spending_2022_2023,Average_Daily_Spending_2022_2023,Actual_Lifetime_2022_2023(days),Total_Spending_2023_2024,Average_Daily_Spending_2023_2024,Actual_Lifetime_2023_2024(days),LTV_2022_2023($),LTV_2023_2024($)
233,1452.5,4.103107344632768,354.0,272.8,0.7930232558139535,344.0,458.7599257613338,85.76530013224527
234,2293.9,6.301923076923077,364.0,2489.8,6.821369863013699,365.0,704.6049542682927,737.7297315372487
238,69.5,1.9305555555555556,36.0,,,,215.85141429539294,
239,,,,37.6,37.6,1.0,,4066.432177531207
240,732.4,2.1290697674418606,344.0,76.5,0.3148148148148148,243.0,238.0468767725468,34.04715672676838
246,6.2,6.2,1.0,,,,693.2091463414633,
248,46.7,0.4132743362831859,113.0,17.0,17.0,1.0,46.20734675156486,1838.5464632454925
250,,,,15.0,15.0,1.0,,1622.246879334258
251,37.3,0.1468503937007874,254.0,301.4,0.8761627906976743,344.0,16.419038073746876,94.75682353320646
252,74.1,0.2105113636363636,352.0,73.60000000000001,0.2619217081850534,281.0,23.53683914218403,28.326778248873403
255,64.8,7.199999999999999,9.0,,,,805.0170731707316,
256,48.0,0.22535211267605634,213.0,15.6,15.6,1.0,25.19615252490553,1687.1367545076284
259,,,,87.7,0.9041237113402062,97.0,,97.7807912835838
260,401.2,1.3373333333333333,300.0,820.2,2.3843023255813955,344.0,149.52446747967477,257.8618004709222
261,1068.9,2.960941828254848,361.0,1310.1,3.629085872576177,361.0,331.0567672792379,392.48488210818306
262,,,,32.6,16.3,2.0,,1762.8416088765605
263,9.5,9.5,1.0,,,,1062.1753048780488,
267,18.8,0.11677018633540373,161.0,,,,13.055832449628843,
268,110.10000000000001,0.6514792899408285,169.0,51.1,0.3452702702702703,148.0,72.84054878048781,37.34090789818946
269,,,,16.3,16.3,1.0,,1762.8416088765605
270,,,,11.4,5.7,2.0,,616.4538141470181
273,5.5,5.5,1.0,,,,614.9435975609756,
274,,,,4.5,4.5,1.0,,486.6740638002774
275,1178.1,3.254419889502762,362.0,757.6999999999999,2.1772988505747124,348.0,363.8699408772402,235.4744177148596
276,1980.2,5.641595441595442,351.0,402.9,1.6051792828685258,251.0,630.7750903342367,173.5998054936979
279,9.8,9.8,1.0,,,,1095.7176829268292,
288,75.2,12.533333333333333,6.0,496.3,2.726923076923077,182.0,1401.3260162601625,294.9161634482023
290,525.4,1.6574132492113565,317.0,223.1,0.9871681415929203,226.0,185.31193929368314,106.7620291384876
291,34.6,17.3,2.0,,,,1934.2771341463413,
298,46.5,0.38114754098360654,122.0,14.1,0.94,15.0,42.61531637345061,101.66080443828017
304,415.6,1.1480662983425416,362.0,131.6,1.7783783783783782,74.0,128.36291268023177,192.3312516399895
305,213.2,0.8168582375478927,261.0,,,,91.33122605363984,
307,696.3,2.0723214285714286,336.0,683.3000000000001,1.930225988700565,354.0,231.70196265243902,208.75353910529162
308,969.6,2.6933333333333334,360.0,1177.8,3.2357142857142858,364.0,301.1360162601626,349.94182682781855
310,,,,37.2,37.2,1.0,,4023.17226074896
312,70.0,0.1977401129943503,354.0,10.1,10.1,1.0,22.10891208488356,1092.3128987517337
313,,,,347.4,1.1541528239202656,301.0,,124.82138779196482
315,,,,32.3,0.23237410071942444,139.0,,25.131210648679392
316,8.8,0.21463414634146344,41.0,40.6,0.18623853211009175,218.0,23.997798929208805,20.141658501825958
320,219.1,0.6086111111111111,360.0,37.2,0.15564853556485356,239.0,68.04754657859078,16.833356739535397
324,610.8,1.8178571428571426,336.0,312.6,0.9087209302325582,344.0,203.2508384146341,98.2779795503661
325,56.400000000000006,0.2096654275092937,269.0,,,,23.442256777586366,
330,33.8,0.3158878504672897,107.0,343.4,1.23971119133574,277.0,35.31876567130156,134.07450742801063
331,72.5,1.7261904761904763,42.0,42.2,0.6918032786885246,61.0,193.00177845528455,74.81838066437781
337,225.5,0.7321428571428571,308.0,54.2,0.4137404580152672,131.0,81.85937499999999,44.745944457972925
341,289.7,1.1921810699588478,243.0,,,,133.29529383719762,
342,13.8,0.04423076923076923,312.0,4.6,4.6,1.0,4.9453506097560975,497.4890429958391
346,31.9,31.9,1.0,,,,3566.672865853658,
351,20.6,4.12,5.0,,,,460.64865853658534,
357,4.3,4.3,1.0,,,,480.7740853658536,
358,,,,8.0,8.0,1.0,,865.1983356449376
366,4.9,4.9,1.0,,,,547.8588414634146,
369,31.8,31.8,1.0,,,,3555.4920731707316,
374,454.40000000000003,1.2728291316526612,357.0,330.5,0.952449567723343,347.0,142.31238641798183,103.00722259749708
375,190.4,0.5840490797546013,326.0,81.89999999999999,0.25999999999999995,315.0,65.30131677390393,28.118945908460468
385,,,,5.7,5.7,1.0,,616.4538141470181
387,109.0,0.331306990881459,329.0,155.3,0.5546428571428572,280.0,37.04274779449922,59.98450960966912
